=== calce RUL head  seeds 1..1  W=64  eol=0.77 Ah  rul_scale=750 cycles  LAM_RUL=1.0 ===
  SP500: 3151 windows, 2229 with a valid RUL (71%)
    [ep   1/100] cap=0.76249 rul=0.19429 (x1.0)  10s, 10.0s/ep
    [ep   6/100] cap=0.52165 rul=0.12302 (x1.0)  57s, 9.4s/ep
    [ep  11/100] cap=0.47268 rul=0.11148 (x1.0)  104s, 9.4s/ep
    [ep  16/100] cap=0.42339 rul=0.10496 (x1.0)  149s, 9.1s/ep
    [ep  21/100] cap=0.39593 rul=0.10526 (x1.0)  195s, 9.2s/ep
    [ep  26/100] cap=0.39046 rul=0.09684 (x1.0)  242s, 9.2s/ep
    [ep  31/100] cap=0.35235 rul=0.09393 (x1.0)  287s, 9.1s/ep
    [ep  36/100] cap=0.34546 rul=0.09832 (x1.0)  333s, 9.2s/ep
    [ep  41/100] cap=0.32823 rul=0.08690 (x1.0)  379s, 9.1s/ep
    [ep  46/100] cap=0.33127 rul=0.08332 (x1.0)  425s, 9.2s/ep
    [ep  51/100] cap=0.32193 rul=0.08028 (x1.0)  471s, 9.2s/ep
    [ep  56/100] cap=0.30452 rul=0.08336 (x1.0)  516s, 9.1s/ep
    [ep  61/100] cap=0.30620 rul=0.08016 (x1.0)  562s, 9.1s/ep
    [ep  66/100] cap=0.30765 rul=0.07483 (x1.0)  608s, 9.3s/ep
    [ep  71/100] cap=0.29889 rul=0.07370 (x1.0)  654s, 9.2s/ep
    [ep  76/100] cap=0.29501 rul=0.07028 (x1.0)  700s, 9.1s/ep
    [ep  81/100] cap=0.29093 rul=0.07113 (x1.0)  746s, 9.3s/ep
    [ep  86/100] cap=0.28223 rul=0.06890 (x1.0)  792s, 9.2s/ep
    [ep  91/100] cap=0.28861 rul=0.06874 (x1.0)  839s, 9.3s/ep
    [ep  96/100] cap=0.28721 rul=0.06591 (x1.0)  937s, 19.7s/ep
    [ep 100/100] cap=0.29193 rul=0.06765 (x1.0)  1026s, 22.2s/ep
    SP500 seed1: TRUL=139 PRUL=190.3 AE=51.3 [1028s]
